#"id","iso_639_1","iso_639_2","iso_639_3","rfc_3066","english_name","english_name_locale","english_name_modifier","native_name","native_name_locale","native_name_modifier","macro_language","direction","pluralization","scope"

0,340,"ar","ara","ara",,"Arabic",,,"العربية",,,1,"rtl",,"L"
0,875,"bs","bos","bos",,"Bosnian",,,,,,0,"ltr",,"L"
0,1020,"bg","bul","bul",,"Bulgarian",,,"Български",,,0,"ltr",,"L"
0,1177,"ca","cat","cat",,"Catalan",,,"Català",,,0,"ltr",,"L"
0,1233,"cs","ces","ces",,"Czech",,,"čeština",,,0,"ltr","c%10==1 && c%100!=11 ? 1 : c%10>=2 && c%10<=4 && (c%100<10 || c%100>=20) ? 2 : 3","L"
0,1261,"cu","chu","chu",,"Slavic",,"Church",,,,0,"ltr",,"A"
0,1481,"cy","cym","cym",,"Welsh",,,"Cymraeg",,,0,"ltr",,"L"
1,1499,"da","dan","dan",,"Danish",,,"Dansk",,,0,"ltr","c == 1 ? 1 : 2","L"
1,1556,"de","deu","deu",,"German",,,"Deutsch",,,0,"ltr","c == 1 ? 1 : 2","L"
0,1793,"el","ell","ell",,"Greek",,"Modern (1453-)","Ελληνικά",,,0,"ltr","c == 1 ? 1 : 2","L"
1,1819,"en","eng","eng",,"English",,,,,,0,"ltr","c == 1 ? 1 : 2","L"
0,1831,"eo","epo","epo",,"Esperanto",,,,,,0,"ltr","c == 1 ? 1 : 2","C"
0,1851,"et","est","est",,"Estonian",,,"Eesti",,,0,"ltr","c == 1 ? 1 : 2","L"
0,1865,"eu","eus","eus",,"Basque",,,"euskera",,,0,"ltr",,"L"
0,1889,"fa","fas","fas",,"Persian",,,"فارسی",,,1,"ltr",,"L"
0,1903,"fi","fin","fin",,"Finnish",,,"suomi",,,0,"ltr","c == 1 ? 1 : 2","L"
1,1930,"fr","fra","fra",,"French",,,"Français",,,0,"ltr","c == 1 ? 1 : 2","L"
0,2115,"ga","gle","gle",,"Irish",,,"Gaeilge",,,0,"ltr","c==1 ? 1 : c==2 ? 2 : 3","L"
0,2323,"he","heb","heb",,"Hebrew",,,"עברית",,,0,"rtl","c == 1 ? 1 : 2","L"
0,2343,"hi","hin","hin",,"Hindi",,,"हिंदी",,,0,"ltr",,"L"
0,2418,"hr","hrv","hrv",,"Croatian",,,"Hrvatski",,,0,"ltr","c%10==1 && c%100!=11 ? 1 : c%10>=2 && c%10<=4 && (c%100<10 || c%100>=20) ? 2 : 3","L"
0,2443,"hu","hun","hun",,"Hungarian",,,"Magyar",,,0,"ltr","c = 1","L"
0,2466,"hy","hye","hye",,"Armenian",,,"Հայերեն",,,0,"ltr",,"L"
0,2558,"id","ind","ind",,"Indonesian",,,"Bahasa indonesia",,,0,"ltr",,"L"
0,2593,"is","isl","isl",,"Icelandic",,,"Íslenska",,,0,"ltr",,"L"
1,2600,"it","ita","ita",,"Italian",,,"italiano",,,0,"ltr","c == 1 ? 1 : 2","L"
1,2723,"ja","jpn","jpn",,"Japanese",,,"日本語",,,0,"ltr","c = 1","L"
0,3122,"ko","kor","kor",,"Korean",,,"한국어",,,0,"ltr","c = 1","L"
0,3276,"ku","kur","kur",,"Kurdish",,,,,,1,"ltr",,"L"
0,3433,"la","lat","lat",,"Latin",,,,,,0,"ltr",,"A"
